County/Zone_NAME_STR,BEGIN_DATE,EVENT_TYPE,CZ_FIPS,BEGIN_LAT,BEGIN_LON,
SAN DIEGO,11/22/2013,Hail,73,33,-117.29,
IMPERIAL,08/13/2004,Thunderstorm Wind,25,33,-117.01,
COACHELLA VALLEY,6/1/2007,Drought,61,33.72,-116.2,
COACHELLA VALLEY,7/1/2007,Drought,61,33.72,-116.2,
COACHELLA VALLEY,8/1/2007,Drought,61,33.72,-116.2,
COACHELLA VALLEY,9/1/2007,Drought,61,33.72,-116.2,
COACHELLA VALLEY,10/1/2007,Drought,61,33.72,-116.2,
COACHELLA VALLEY,11/1/2007,Drought,61,33.72,-116.2,
COACHELLA VALLEY,12/1/2007,Drought,61,33.72,-116.2,
COACHELLA VALLEY,1/1/2008,Drought,61,33.72,-116.2,
COACHELLA VALLEY,06/17/2008,Drought,61,33.72,-116.2,
COACHELLA VALLEY,7/1/2008,Drought,61,33.72,-116.2,
COACHELLA VALLEY,8/1/2008,Drought,61,33.72,-116.2,
COACHELLA VALLEY,9/1/2008,Drought,61,33.72,-116.2,
COACHELLA VALLEY,10/1/2008,Drought,61,33.72,-116.2,
COACHELLA VALLEY,11/1/2008,Drought,61,33.72,-116.2,
COACHELLA VALLEY,1/1/2009,Drought,61,33.72,-116.2,
COACHELLA VALLEY,2/1/2009,Drought,61,33.72,-116.2,
COACHELLA VALLEY,3/1/2009,Drought,61,33.72,-116.2,
COACHELLA VALLEY,4/1/2009,Drought,61,33.72,-116.2,
COACHELLA VALLEY,5/1/2009,Drought,61,33.72,-116.2,
COACHELLA VALLEY,6/1/2009,Drought,61,33.72,-116.2,
COACHELLA VALLEY,7/1/2009,Drought,61,33.72,-116.2,
COACHELLA VALLEY,8/1/2009,Drought,61,33.72,-116.2,
COACHELLA VALLEY,9/1/2009,Drought,61,33.72,-116.2,
COACHELLA VALLEY,10/1/2009,Drought,61,33.72,-116.2,
COACHELLA VALLEY,11/1/2009,Drought,61,33.72,-116.2,
COACHELLA VALLEY,12/1/2009,Drought,61,33.72,-116.2,
COACHELLA VALLEY,10/26/2006,Wildfire,61,33.72,-116.2,
COACHELLA VALLEY,09/24/2011,Wildfire,61,33.72,-116.2,
COACHELLA VALLEY,09/26/2007,Wildfire,61,33.72,-116.2,
COACHELLA VALLEY,03/22/2009,Wildfire,61,33.72,-116.2,
COACHELLA VALLEY,03/22/2009,Wildfire,61,33.72,-116.2,
COACHELLA VALLEY,4/3/2009,Wildfire,61,33.72,-116.2,
COACHELLA VALLEY,07/21/2004,Wildfire,61,33.72,-116.2,
RIVERSIDE,05/22/2008,Hail,65,34.,-117.87,
KERN,07/30/2011,Thunderstorm Wind,29,35.,-118.16,
SAN BERNARDINO,07/22/2013,Thunderstorm Wind,71,35.,-115.66,
KINGS,02/22/2005,Hail,31,36.,-119.03,
OWENS VALLEY,03/18/2011,Wildfire,520,36.48,-118.11,
OWENS VALLEY,09/13/2011,Wildfire,520,36.48,-118.11,
SOUTHERN MONTEREY BAY AND BIG SUR COAST,12/17/2013,Wildfire,530,36.48,-121.54,
SANTA CLARA,04/14/2007,Tornado,85,37.,-121.8,
WEST SLOPE NORTHERN SIERRA NEVADA,10/1/2013,Wildfire,69,37.44,-119.57,
WEST SLOPE NORTHERN SIERRA NEVADA,8/1/2009,Wildfire,69,37.44,-119.57,
WEST SLOPE NORTHERN SIERRA NEVADA,09/13/2009,Wildfire,69,37.44,-119.57,
WEST SLOPE NORTHERN SIERRA NEVADA,06/21/2008,Wildfire,69,37.44,-119.57,
WEST SLOPE NORTHERN SIERRA NEVADA,04/18/2008,Wildfire,69,37.44,-119.57,
WEST SLOPE NORTHERN SIERRA NEVADA,7/1/2008,Wildfire,69,37.44,-119.57,
WEST SLOPE NORTHERN SIERRA NEVADA,9/1/2013,Wildfire,69,37.44,-119.57,
WEST SLOPE NORTHERN SIERRA NEVADA,08/17/2013,Wildfire,69,37.44,-119.57,
NORTH BAY MOUNTAINS,10/4/2013,Wildfire,507,37.45,-122.7,
NORTH BAY MOUNTAINS,11/20/2013,Wildfire,507,37.45,-122.7,
NORTH BAY MOUNTAINS,5/1/2013,Wildfire,507,37.45,-122.7,
GROVELAND,07/26/2009,Wildfire,67,38.4,-120.8,
MOTHERLODE/CAMPTONVILLE TO GROVELAND,5/12/2008,Wildfire,67,38.4,-120.8,
MOTHERLODE/CAMPTONVILLE TO GROVELAND,04/18/2008,Wildfire,67,38.4,-120.8,
MOUNTAINS SOUTHWEST SHASTA COUNTY TO NORTHERN LAKE COUNTY,6/12/2008,Wildfire,63,38.4,-120.8,
MOUNTAINS SOUTHWEST SHASTA COUNTY TO NORTHERN LAKE COUNTY,06/21/2008,Wildfire,63,38.4,-120.8,
MOUNTAINS SOUTHWEST SHASTA COUNTY TO NORTHERN LAKE COUNTY,7/1/2008,Wildfire,63,38.4,-120.8,
SACRAMENTO VALLEY,7/1/2008,Wildfire,66,39.,-121.63,
SACRAMENTO VALLEY,6/11/2008,Wildfire,66,39.,-121.09,
SACRAMENTO VALLEY,06/21/2008,Wildfire,66,39.,-121.5,
SACRAMENTO VALLEY,7/1/2008,Wildfire,15,39.,-121.5,
SACRAMENTO VALLEY,06/21/2008,Wildfire,15,39.,-121.5,
SACRAMENTO VALLEY,7/1/2008,Wildfire,15,39.,-121.5,
SACRAMENTO VALLEY,9/9/2013,Wildfire,15,39.,-121.5,
SACRAMENTO VALLEY,1/1/2014,Drought,17,39.,-121.5,
SACRAMENTO VALLEY,07/22/2006,Wildfire,516,39.,-121.5,
SOUTHWEST SAN JOAQUIN VALLEY,3/1/2014,Drought,91,39.,-121.5,
YUBA,11/27/2009,Thunderstorm Wind,115,39.,-121.5,
SHASTA,7/3/2013,Hail,89,41.,-120.32,
SANTA CLARITA VALLEY,07/17/2004,Wildfire,88,34.398,-118.22,
SANTA CLARITA VALLEY,10/13/2008,Wildfire,88,34.398,-118.22,
SANTA CLARITA VALLEY,10/22/2007,Wildfire,88,34.398,-118.22,
SANTA CLARITA VALLEY,10/20/2007,Wildfire,88,34.398,-118.22,
RIVERSIDE COUNTY MOUNTAINS,6/1/2007,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,7/1/2007,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,8/1/2007,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,9/1/2007,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,10/1/2007,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,11/1/2007,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,12/1/2007,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,1/1/2008,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,06/17/2008,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,7/1/2008,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,8/1/2008,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,9/1/2008,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,10/1/2008,Drought,56,34.0231,-114.413,
