Month,Day,Year,sum
4,25,2004,0
4,26,2004,0
4,27,2004,0
5,1,2004,0
5,2,2004,0
8,23,2005,0
6,22,2006,0
6,23,2006,0
6,27,2008,0
7,14,2009,0
9,26,2009,0
9,27,2009,0
8,14,2010,0
3,24,2013,0
5,3,2004,0.001
8,22,2005,0.001
7,8,2007,0.001
11,18,2008,0.001
3,23,2013,0.001
8,5,2013,0.001
8,6,2013,0.001
5,13,2004,0.002
6,14,2008,0.002
6,18,2008,0.002
6,19,2008,0.002
11,17,2008,0.002
4,26,2009,0.002
8,4,2013,0.002
10,24,2013,0.002
4,23,2004,0.003
4,24,2004,0.003
5,14,2004,0.003
5,25,2007,0.003
6,26,2008,0.003
4,28,2004,0.004
5,30,2007,0.004
5,31,2007,0.004
11,19,2008,0.004
9,19,2012,0.004
5,3,2013,0.004
10,25,2013,0.004
10,26,2013,0.004
6,20,2008,0.005
8,20,2011,0.005
5,2,2013,0.005
3,20,2004,0.006
4,30,2004,0.006
8,8,2004,0.006
8,11,2004,0.006
8,29,2004,0.006
9,25,2005,0.006
7,11,2006,0.006
8,29,2006,0.006
6,8,2008,0.006
9,25,2012,0.006
9,19,2013,0.006
10,21,2013,0.006
8,28,2004,0.007
8,30,2004,0.007
9,2,2006,0.007
8,24,2007,0.007
6,30,2008,0.007
4,19,2009,0.007
8,4,2009,0.007
10,11,2009,0.007
3,8,2012,0.007
1,2,2013,0.007
7,9,2013,0.007
7,14,2013,0.007
9,24,2004,0.008
9,26,2006,0.008
6,28,2008,0.008
7,2,2008,0.008
5,9,2009,0.008
9,25,2009,0.008
9,28,2009,0.008
12,3,2009,0.008
2,3,2012,0.008
6,11,2012,0.008
10,23,2013,0.008
9,20,2012,0.009
9,25,2004,0.009
8,20,2006,0.009
8,21,2006,0.009
8,30,2006,0.009
12,2,2006,0.009
6,15,2008,0.009
6,17,2008,0.009
7,15,2009,0.009
6,20,2012,0.009
8,13,2006,0.01
8,19,2011,0.01
8,31,2005,0.01
1,24,2006,0.01
4,30,2007,0.01
2,27,2008,0.01
5,17,2008,0.01
9,18,2009,0.01
6,18,2010,0.01
9,8,2011,0.01
1,15,2013,0.01
6,7,2013,0.01
10,22,2013,0.01
11,10,2013,0.01
4,29,2004,0.01
5,6,2004,0.01
7,1,2008,0.01
7,3,2008,0.01
4,27,2008,0.011
5,10,2009,0.011
12,2,2009,0.011
6,16,2007,0.011
9,27,2006,0.012
5,24,2007,0.012
5,16,2008,0.012
6,29,2008,0.012
8,17,2013,0.012
7,4,2008,0.012
10,20,2013,0.012
7,9,2011,0.012
8,28,2006,0.013
12,9,2013,0.013
2,28,2008,0.013
3,11,2009,0.013
6,27,2010,0.013
2,4,2012,0.013
6,12,2012,0.013
12,7,2006,0.014
9,3,2004,0.014
3,14,2007,0.014
7,8,2013,0.014
10,4,2013,0.014
8,31,2006,0.014
3,30,2007,0.014
8,12,2007,0.014
5,1,2013,0.014
5,4,2004,0.015
7,20,2005,0.015
7,9,2007,0.015
8,18,2009,0.015
12,1,2009,0.015
5,6,2012,0.015
6,2,2013,0.015
11,9,2013,0.015
9,10,2008,0.015
4,7,2012,0.015
9,21,2012,0.015
6,3,2013,0.015
9,1,2006,0.016
4,29,2007,0.016
10,24,2007,0.016
6,16,2008,0.016
6,23,2008,0.016
8,17,2009,0.016
7,23,2010,0.016
9,29,2011,0.016
6,21,2012,0.016
7,6,2012,0.016
2,17,2013,0.016
12,30,2013,0.016
3,15,2004,0.016
3,11,2004,0.017
2,3,2007,0.017
7,9,2008,0.017
9,9,2008,0.017
9,17,2009,0.017
6,20,2011,0.017
7,21,2012,0.017
1,14,2013,0.017
4,12,2004,0.018
5,5,2004,0.018
9,7,2007,0.018
9,2,2004,0.018
3,31,2009,0.018
11,10,2011,0.018
6,4,2013,0.018
6,24,2006,0.019
8,27,2006,0.019
6,27,2007,0.019
9,26,2012,0.019
1,22,2013,0.019
8,16,2013,0.019
12,29,2013,0.019
6,17,2007,0.02
3,16,2005,0.02
9,21,2008,0.02
11,4,2013,0.02
11,11,2013,0.02
12,6,2006,0.021
7,21,2004,0.021
9,1,2005,0.021
11,17,2005,0.021
8,3,2008,0.021
9,4,2008,0.021
4,28,2012,0.021
7,7,2012,0.021
10,2,2012,0.021
9,3,2006,0.021
7,19,2005,0.022
9,12,2006,0.022
8,21,2007,0.022
6,23,2009,0.022
8,20,2010,0.022
3,8,2005,0.022
9,2,2005,0.022
9,3,2005,0.022
9,6,2007,0.022
6,16,2013,0.022
9,24,2012,0.022
9,25,2006,0.023
3,29,2007,0.023
12,4,2008,0.023
10,3,2012,0.023
1,16,2013,0.023
11,1,2013,0.023
12,14,2013,0.023
5,2,2006,0.023
5,11,2007,0.023
9,8,2008,0.023
8,4,2006,0.023
8,29,2011,0.023
9,26,2004,0.024
11,18,2005,0.024
7,12,2006,0.024
8,23,2007,0.024
11,5,2007,0.024
7,18,2008,0.024
5,7,2012,0.024
6,6,2013,0.024
6,8,2013,0.024
10,17,2013,0.024
6,21,2004,0.024
4,29,2012,0.024
4,11,2004,0.024
8,24,2011,0.024
7,12,2004,0.025
10,5,2005,0.025
2,25,2006,0.025
5,12,2007,0.025
5,18,2008,0.025
9,4,2005,0.025
1,13,2013,0.025
2,13,2013,0.025
8,2,2008,0.025
1,17,2013,0.026
3,21,2004,0.026
1,1,2012,0.026
4,12,2013,0.026
3,9,2005,0.026
4,1,2008,0.026
6,22,2010,0.026
10,19,2013,0.026
6,21,2006,0.027
6,11,2008,0.027
8,26,2006,0.027
9,18,2007,0.027
4,20,2009,0.027
7,24,2010,0.027
5,15,2004,0.027
5,29,2012,0.027
9,27,2012,0.027
5,4,2013,0.027
6,5,2013,0.027
6,22,2013,0.027
8,3,2013,0.027
8,15,2013,0.027
12,3,2011,0.027
8,14,2013,0.028
8,10,2004,0.028
12,3,2006,0.028
3,15,2007,0.028
4,28,2008,0.028
12,4,2011,0.028
12,5,2011,0.028
5,19,2012,0.028
12,29,2006,0.028
4,3,2007,0.029
8,5,2007,0.029
9,19,2009,0.029
8,4,2010,0.029
6,21,2011,0.029
9,10,2007,0.029
3,3,2008,0.029
1,31,2009,0.029
3,27,2009,0.029
10,21,2009,0.029
1,1,2013,0.029
6,29,2013,0.029
10,23,2005,0.029
8,25,2011,0.029
12,11,2008,0.029
11,1,2009,0.03
7,11,2004,0.03
9,27,2004,0.03
2,2,2007,0.03
6,13,2008,0.03
7,6,2009,0.03
4,25,2010,0.03
6,17,2010,0.03
7,10,2011,0.03
6,1,2013,0.03
6,21,2013,0.03
7,17,2013,0.03
2,9,2004,0.03
3,17,2005,0.03
8,8,2012,0.03
8,25,2012,0.03
1,19,2013,0.03
4,24,2013,0.03
5,23,2007,0.03
9,3,2012,0.03
9,12,2013,0.03
6,27,2012,0.03
6,22,2008,0.03
9,4,2004,0.031
10,31,2006,0.031
1,21,2007,0.031
8,20,2009,0.031
9,16,2009,0.031
5,1,2010,0.031
1,8,2012,0.031
10,31,2013,0.031
9,4,2006,0.031
2,14,2013,0.031
9,30,2006,0.031
7,30,2004,0.032
9,5,2004,0.032
10,13,2004,0.032
6,9,2006,0.032
9,10,2006,0.032
5,10,2007,0.032
1,18,2008,0.032
7,7,2008,0.032
7,8,2008,0.032
8,1,2008,0.032
8,19,2009,0.032
4,28,2013,0.032
10,14,2013,0.032
5,9,2007,0.032
9,19,2008,0.032
10,23,2007,0.033
8,9,2004,0.033
9,19,2006,0.033
7,4,2007,0.033
8,23,2008,0.033
1,12,2009,0.033
8,16,2011,0.033
11,25,2013,0.033
11,26,2013,0.033
8,21,2009,0.033
7,18,2013,0.033
1,9,2007,0.034
3,13,2007,0.034
5,13,2007,0.034
5,29,2007,0.034
10,13,2010,0.034
5,16,2012,0.034
6,19,2012,0.034
7,10,2012,0.034
9,2,2012,0.034
10,1,2012,0.034
1,18,2013,0.034
10,9,2006,0.034
6,21,2008,0.034
5,15,2006,0.035
8,22,2007,0.035
5,15,2008,0.035
8,2,2013,0.035
9,15,2013,0.035
7,22,2010,0.036
8,13,2010,0.036
7,2,2005,0.036
9,11,2008,0.036
5,12,2009,0.036
5,16,2009,0.036
6,17,2013,0.036
10,18,2013,0.036
5,16,2004,0.036
9,23,2004,0.037
4,25,2007,0.037
4,26,2008,0.037
7,19,2010,0.037
2,4,2007,0.038
11,16,2008,0.038
6,22,2011,0.038
3,19,2004,0.038
9,5,2006,0.038
1,19,2008,0.038
11,24,2008,0.038
5,8,2009,0.038
4,25,2013,0.038
5,20,2013,0.038
5,12,2004,0.038
2,5,2007,0.039
2,6,2006,0.039
9,13,2006,0.039
6,15,2007,0.039
9,9,2007,0.039
9,3,2008,0.039
1,13,2009,0.039
6,19,2010,0.039
9,20,2008,0.039
9,28,2010,0.039
6,17,2011,0.039
12,5,2005,0.04
5,30,2006,0.04
9,8,2007,0.04
4,18,2008,0.04
9,22,2008,0.04
10,19,2008,0.04
7,31,2013,0.04
9,14,2013,0.04
9,22,2005,0.04
12,10,2011,0.04
9,13,2012,0.04
3,22,2013,0.04
4,11,2013,0.04
2,14,2006,0.04
4,19,2006,0.041
6,3,2004,0.041
8,31,2004,0.041
10,21,2006,0.041
7,5,2008,0.041
