ID,Latitude,Longitude
552362,32.624,-117.187
552363,32.62,-116.87
552364,32.62,-116.56
552365,32.62,-116.25
552366,32.624,-115.937
552367,32.624,-115.625
552368,32.624,-115.312
552369,32.624,-115
552370,32.62,-114.68
553514,32.93,-117.18
553515,32.93,-116.87
553516,32.93,-116.56
553517,32.93,-116.25
553518,32.93,-115.93
553519,32.93,-115.62
553520,32.93,-115.31
553521,32.93,-115
553522,32.93,-114.68
554661,33.249,-118.75
554662,33.249,-118.437
554663,33.249,-118.125
554664,33.249,-117.812
554665,33.249,-117.5
554666,33.24,-117.18
554667,33.24,-116.87
554668,33.24,-116.56
554669,33.24,-116.25
554670,33.24,-115.93
554671,33.24,-115.62
554672,33.24,-115.31
554673,33.24,-115
554674,33.24,-114.68
555813,33.561,-118.75
555814,33.561,-118.437
555815,33.561,-118.125
555816,33.56,-117.81
555817,33.56,-117.5
555818,33.56,-117.18
555819,33.56,-116.87
555820,33.56,-116.56
555821,33.56,-116.25
555822,33.56,-115.93
555823,33.56,-115.62
555824,33.56,-115.31
555825,33.56,-115
555826,33.56,-114.68
556965,33.873,-118.75
556966,33.873,-118.437
556967,33.87,-118.12
556968,33.87,-117.81
556969,33.87,-117.5
556970,33.87,-117.18
556971,33.87,-116.87
556972,33.87,-116.56
556973,33.87,-116.25
556974,33.87,-115.93
556975,33.87,-115.62
556976,33.87,-115.31
556977,33.87,-115
556978,33.87,-114.68
558115,34.185,-119.375
558116,34.18,-119.06
558117,34.18,-118.75
558118,34.18,-118.43
558119,34.18,-118.12
558120,34.18,-117.81
558121,34.18,-117.5
558122,34.18,-117.18
558123,34.18,-116.87
558124,34.18,-116.56
558125,34.18,-116.25
558126,34.18,-115.93
558127,34.18,-115.62
558128,34.18,-115.31
558129,34.18,-115
558130,34.18,-114.68
558131,34.18,-114.37
559263,34.498,-120.625
559264,34.49,-120.31
559265,34.49,-120
559266,34.49,-119.68
559267,34.49,-119.37
559268,34.49,-119.06
559269,34.49,-118.75
559270,34.49,-118.43
559271,34.49,-118.12
559272,34.49,-117.81
559273,34.49,-117.5
559274,34.49,-117.18
559275,34.49,-116.87
559276,34.49,-116.56
559277,34.49,-116.25
559278,34.49,-115.93
559279,34.49,-115.62
559280,34.49,-115.31
559281,34.49,-115
559282,34.49,-114.68
559283,34.49,-114.37
560415,34.81,-120.625
560416,34.81,-120.31
560417,34.81,-120
560418,34.81,-119.68
560419,34.81,-119.37
560420,34.81,-119.06
560421,34.81,-118.75
560422,34.81,-118.43
560423,34.81,-118.12
560424,34.81,-117.81
560425,34.81,-117.5
560426,34.81,-117.18
560427,34.81,-116.87
560428,34.81,-116.56
560429,34.81,-116.25
560430,34.81,-115.93
560431,34.81,-115.62
560432,34.81,-115.31
560433,34.81,-115
560434,34.81,-114.68
561566,35.122,-120.937
561567,35.12,-120.62
561568,35.12,-120.31
561569,35.12,-120
561570,35.12,-119.68
561571,35.12,-119.37
561572,35.12,-119.06
561573,35.12,-118.75
561574,35.12,-118.43
561575,35.12,-118.12
561576,35.12,-117.81
561577,35.12,-117.5
561578,35.12,-117.18
561579,35.12,-116.87
561580,35.12,-116.56
561581,35.12,-116.25
561582,35.12,-115.93
561583,35.12,-115.62
561584,35.12,-115.31
561585,35.12,-115
562718,35.434,-120.937
562719,35.43,-120.62
562720,35.43,-120.31
562721,35.43,-120
562722,35.43,-119.68
562723,35.43,-119.37
562724,35.43,-119.06
562725,35.43,-118.75
562726,35.43,-118.43
562727,35.43,-118.12
562728,35.43,-117.81
562729,35.43,-117.5
562730,35.43,-117.18
562731,35.43,-116.87
562732,35.43,-116.56
562733,35.43,-116.25
562734,35.43,-115.93
562735,35.43,-115.62
562736,35.43,-115.31
563869,35.74,-121.25
563870,35.74,-120.93
563871,35.74,-120.62
563872,35.74,-120.31
563873,35.74,-120
563874,35.74,-119.68
563875,35.74,-119.37
563876,35.74,-119.06
563877,35.74,-118.75
563878,35.74,-118.43
563879,35.74,-118.12
563880,35.74,-117.81
563881,35.74,-117.5
563882,35.74,-117.18
563883,35.74,-116.87
563884,35.74,-116.56
563885,35.74,-116.25
563886,35.74,-115.93
565020,36.05,-121.56
565021,36.05,-121.25
565022,36.05,-120.93
565023,36.05,-120.62
565024,36.05,-120.31
565025,36.05,-120
565026,36.05,-119.68
565027,36.05,-119.37
565028,36.05,-119.06
565029,36.05,-118.75
565030,36.05,-118.43
565031,36.05,-118.12
565032,36.05,-117.81
565033,36.05,-117.5
565034,36.05,-117.18
565035,36.05,-116.87
565036,36.05,-116.56
565037,36.05,-116.25
565038,36.05,-115.93
566171,36.37,-121.87
566172,36.37,-121.56
566173,36.37,-121.25
566174,36.37,-120.93
566175,36.37,-120.62
566176,36.37,-120.31
566177,36.37,-120
566178,36.37,-119.68
566179,36.37,-119.37
566180,36.37,-119.06
566181,36.37,-118.75
566182,36.37,-118.43
566183,36.37,-118.12
566184,36.37,-117.81
566185,36.37,-117.5
566186,36.37,-117.18
566187,36.37,-116.87
566188,36.37,-116.56
567323,36.683,-121.875
567324,36.68,-121.56
567325,36.68,-121.25
567326,36.68,-120.93
567327,36.68,-120.62
567328,36.68,-120.31
567329,36.68,-120
567330,36.68,-119.68
567331,36.68,-119.37
567332,36.68,-119.06
567333,36.68,-118.75
567334,36.68,-118.43
567335,36.68,-118.12
567336,36.68,-117.81
567337,36.68,-117.5
567338,36.68,-117.18
567339,36.68,-116.87
568474,36.995,-122.187
568475,36.99,-121.87
568476,36.99,-121.56
568477,36.99,-121.25
568478,36.99,-120.93
568479,36.99,-120.62
568480,36.99,-120.31
568481,36.99,-120
568482,36.99,-119.68
568483,36.99,-119.37
568484,36.99,-119.06
568485,36.99,-118.75
568486,36.99,-118.43
568487,36.99,-118.12
568488,36.99,-117.81
568489,36.99,-117.5
568490,36.99,-117.18
569625,37.307,-122.5
569626,37.3,-122.18
569627,37.3,-121.87
569628,37.3,-121.56
569629,37.3,-121.25
569630,37.3,-120.93
569631,37.3,-120.62
569632,37.3,-120.31
569633,37.3,-120
569634,37.3,-119.68
569635,37.3,-119.37
569636,37.3,-119.06
569637,37.3,-118.75
569638,37.3,-118.43
569639,37.3,-118.12
569640,37.3,-117.81
570777,37.62,-122.5
570778,37.62,-122.187
570779,37.62,-121.87
570780,37.62,-121.56
570781,37.62,-121.25
570782,37.62,-120.93
570783,37.62,-120.62
570784,37.62,-120.31
570785,37.62,-120
570786,37.62,-119.68
570787,37.62,-119.37
570788,37.62,-119.06
570789,37.62,-118.75
570790,37.62,-118.43
571928,37.932,-122.812
571929,37.932,-122.5
571930,37.93,-122.18
571931,37.93,-121.87
571932,37.93,-121.56
571933,37.93,-121.25
571934,37.93,-120.93
571935,37.93,-120.62
571936,37.93,-120.31
571937,37.93,-120
571938,37.93,-119.68
571939,37.93,-119.37
571940,37.93,-119.06
571941,37.93,-118.75
573079,38.244,-123.125
573080,38.24,-122.81
573081,38.24,-122.5
573082,38.24,-122.18
573083,38.24,-121.87
573084,38.24,-121.56
573085,38.24,-121.25
573086,38.24,-120.93
573087,38.24,-120.62
573088,38.24,-120.31
573089,38.24,-120
573090,38.24,-119.68
573091,38.24,-119.37
573092,38.24,-119.06
574230,38.556,-123.437
574231,38.55,-123.12
574232,38.55,-122.81
574233,38.55,-122.5
574234,38.55,-122.18
574235,38.55,-121.87
574236,38.55,-121.56
574237,38.55,-121.25
574238,38.55,-120.93
574239,38.55,-120.62
574240,38.55,-120.31
574241,38.55,-120
574242,38.55,-119.68
574243,38.55,-119.37
575381,38.868,-123.75
575382,38.86,-123.43
575383,38.86,-123.12
575384,38.86,-122.81
575385,38.86,-122.5
575386,38.86,-122.18
575387,38.86,-121.87
575388,38.86,-121.56
575389,38.86,-121.25
575390,38.86,-120.93
575391,38.86,-120.62
575392,38.86,-120.31
575393,38.86,-120
576533,39.18,-123.75
576534,39.18,-123.43
576535,39.18,-123.12
576536,39.18,-122.81
576537,39.18,-122.5
576538,39.18,-122.18
576539,39.18,-121.87
576540,39.18,-121.56
576541,39.18,-121.25
576542,39.18,-120.93
576543,39.18,-120.62
576544,39.18,-120.31
576545,39.18,-120
577685,39.49,-123.75
577686,39.49,-123.43
577687,39.49,-123.12
577688,39.49,-122.81
577689,39.49,-122.5
577690,39.49,-122.18
577691,39.49,-121.87
577692,39.49,-121.56
577693,39.49,-121.25
577694,39.49,-120.93
577695,39.49,-120.62
577696,39.49,-120.31
577697,39.49,-120
578836,39.805,-124.062
578837,39.8,-123.75
578838,39.8,-123.43
578839,39.8,-123.12
578840,39.8,-122.81
578841,39.8,-122.5
578842,39.8,-122.18
578843,39.8,-121.87
578844,39.8,-121.56
578845,39.8,-121.25
578846,39.8,-120.93
578847,39.8,-120.62
578848,39.8,-120.31
578849,39.8,-120
579987,40.117,-124.375
579988,40.11,-124.06
579989,40.11,-123.75
579990,40.11,-123.43
579991,40.11,-123.12
579992,40.11,-122.81
579993,40.11,-122.5
579994,40.11,-122.18
579995,40.11,-121.87
579996,40.11,-121.56
579997,40.11,-121.25
579998,40.11,-120.93
579999,40.11,-120.62
580000,40.11,-120.31
580001,40.11,-120
581139,40.42,-124.37
581140,40.42,-124.06
581141,40.42,-123.75
581142,40.42,-123.43
581143,40.42,-123.12
581144,40.42,-122.81
581145,40.42,-122.5
581146,40.42,-122.18
581147,40.42,-121.87
581148,40.42,-121.56
581149,40.42,-121.25
581150,40.42,-120.93
581151,40.42,-120.62
581152,40.42,-120.31
581153,40.42,-120
582291,40.742,-124.375
582292,40.74,-124.06
582293,40.74,-123.75
582294,40.74,-123.43
582295,40.74,-123.12
582296,40.74,-122.81
582297,40.74,-122.5
582298,40.74,-122.18
582299,40.74,-121.87
582300,40.74,-121.56
582301,40.74,-121.25
582302,40.74,-120.93
582303,40.74,-120.62
582304,40.74,-120.31
582305,40.74,-120
583444,41.05,-124.06
583445,41.05,-123.75
583446,41.05,-123.43
583447,41.05,-123.12
583448,41.05,-122.81
583449,41.05,-122.5
583450,41.05,-122.18
583451,41.05,-121.87
583452,41.05,-121.56
583453,41.05,-121.25
583454,41.05,-120.93
583455,41.05,-120.62
583456,41.05,-120.31
583457,41.05,-120
584596,41.36,-124.06
584597,41.36,-123.75
584598,41.36,-123.43
584599,41.36,-123.12
584600,41.36,-122.81
584601,41.36,-122.5
584602,41.36,-122.18
584603,41.36,-121.87
584604,41.36,-121.56
584605,41.36,-121.25
584606,41.36,-120.93
584607,41.36,-120.62
584608,41.36,-120.31
584609,41.36,-120
585747,41.678,-124.375
585748,41.67,-124.06
585749,41.67,-123.75
585750,41.67,-123.43
585751,41.67,-123.12
585752,41.67,-122.81
585753,41.67,-122.5
585754,41.67,-122.18
585755,41.67,-121.87
585756,41.67,-121.56
585757,41.67,-121.25
585758,41.67,-120.93
585759,41.67,-120.62
585760,41.67,-120.31
585761,41.67,-120
586899,41.99,-124.375
586900,41.99,-124.06
586901,41.99,-123.75
586902,41.99,-123.43
586903,41.99,-123.12
586904,41.99,-122.81
586905,41.99,-122.5
586906,41.99,-122.18
586907,41.99,-121.87
586908,41.99,-121.56
586909,41.99,-121.25
586910,41.99,-120.93
586911,41.99,-120.62
586912,41.99,-120.31
586913,41.99,-120
586914,41.99,-119.68
586915,41.99,-119.37
586916,41.99,-119.06
586917,41.99,-118.75
586918,41.99,-118.43
586919,41.99,-118.12
586920,41.99,-117.81
586921,41.99,-117.5
586922,41.99,-117.18
588051,42.3,-124.37
588052,42.3,-124.06
588053,42.3,-123.75
588054,42.3,-123.43
588055,42.3,-123.12
588056,42.3,-122.81
588057,42.3,-122.5
588058,42.3,-122.18
588059,42.3,-121.87
588060,42.3,-121.56
588061,42.3,-121.25
588062,42.3,-120.93
588063,42.3,-120.62
588064,42.3,-120.31
588065,42.3,-120
588066,42.3,-119.68
588067,42.3,-119.37
588068,42.3,-119.06
588069,42.3,-118.75
588070,42.3,-118.43
588071,42.3,-118.12
588072,42.3,-117.81
588073,42.3,-117.5
588074,42.3,-117.18
589203,42.61,-124.37
589204,42.61,-124.06
589205,42.61,-123.75
589206,42.61,-123.43
589207,42.61,-123.12
589208,42.61,-122.81
589209,42.61,-122.5
589210,42.61,-122.18
589211,42.61,-121.87
589212,42.61,-121.56
589213,42.61,-121.25
589214,42.61,-120.93
589215,42.61,-120.62
589216,42.61,-120.31
589217,42.61,-120
589218,42.61,-119.68
589219,42.61,-119.37
589220,42.61,-119.06
589221,42.61,-118.75
589222,42.61,-118.43
589223,42.61,-118.12
589224,42.61,-117.81
589225,42.61,-117.5
589226,42.61,-117.18
590355,42.92,-124.37
590356,42.92,-124.06
590357,42.92,-123.75
590358,42.92,-123.43
590359,42.92,-123.12
590360,42.92,-122.81
590361,42.92,-122.5
590362,42.92,-122.18
590363,42.92,-121.87
590364,42.92,-121.56
590365,42.92,-121.25
590366,42.92,-120.93
590367,42.92,-120.62
590368,42.92,-120.31
590369,42.92,-120
590370,42.92,-119.68
590371,42.92,-119.37
590372,42.92,-119.06
590373,42.92,-118.75
590374,42.92,-118.43
590375,42.92,-118.12
590376,42.92,-117.81
590377,42.92,-117.5
590378,42.92,-117.18
591507,43.23,-124.37
591508,43.23,-124.06
591509,43.23,-123.75
591510,43.23,-123.43
591511,43.23,-123.12
591512,43.23,-122.81
591513,43.23,-122.5
591514,43.23,-122.18
591515,43.23,-121.87
591516,43.23,-121.56
591517,43.23,-121.25
591518,43.23,-120.93
591519,43.23,-120.62
591520,43.23,-120.31
591521,43.23,-120
591522,43.23,-119.68
591523,43.23,-119.37
591524,43.23,-119.06
591525,43.23,-118.75
591526,43.23,-118.43
591527,43.23,-118.12
591528,43.23,-117.81
591529,43.23,-117.5
591530,43.23,-117.18
592659,43.551,-124.375
592660,43.55,-124.06
592661,43.55,-123.75
592662,43.55,-123.43
592663,43.55,-123.12
592664,43.55,-122.81
592665,43.55,-122.5
592666,43.55,-122.18
592667,43.55,-121.87
592668,43.55,-121.56
592669,43.55,-121.25
592670,43.55,-120.93
592671,43.55,-120.62
592672,43.55,-120.31
592673,43.55,-120
592674,43.55,-119.68
592675,43.55,-119.37
592676,43.55,-119.06
592677,43.55,-118.75
592678,43.55,-118.43
592679,43.55,-118.12
592680,43.55,-117.81
592681,43.55,-117.5
592682,43.55,-117.18
593812,43.86,-124.06
593813,43.86,-123.75
593814,43.86,-123.43
593815,43.86,-123.12
593816,43.86,-122.81
593817,43.86,-122.5
593818,43.86,-122.18
593819,43.86,-121.87
593820,43.86,-121.56
593821,43.86,-121.25
593822,43.86,-120.93
593823,43.86,-120.62
593824,43.86,-120.31
593825,43.86,-120
593826,43.86,-119.68
593827,43.86,-119.37
593828,43.86,-119.06
593829,43.86,-118.75
593830,43.86,-118.43
593831,43.86,-118.12
593832,43.86,-117.81
593833,43.86,-117.5
593834,43.86,-117.18
594964,44.17,-124.06
594965,44.17,-123.75
594966,44.17,-123.43
594967,44.17,-123.12
594968,44.17,-122.81
594969,44.17,-122.5
