CZ_NAME_STR,BEGIN_DATE,EVENT_TYPE,CZ_FIPS,BEGIN_LAT,BEGIN_LON
WALLOWA,9/1/2004,Hail,63,45.5,-116.83
WALLOWA,8/5/2010,Hail,63,45.56,-116.83
WALLOWA,8/5/2010,Hail,63,45.56,-116.83
BAKER,5/10/2007,Hail,1,45.04,-116.85
WALLOWA,6/4/2006,Thunderstorm Wind,63,45.13,-116.85
WALLOWA,9/1/2004,Thunderstorm Wind,63,45.32,-116.9
WALLOWA,9/1/2004,Hail,63,45.32,-116.9
MALHEUR,8/9/2007,Thunderstorm Wind,45,44.02,-116.97
MALHEUR,06/13/2006,Hail,45,42.95,-117.03
MALHEUR,05/26/2004,Thunderstorm Wind,45,42.97,-117.05
MALHEUR,7/2/2006,Hail,45,42.97,-117.05
WALLOWA,08/22/2013,Thunderstorm Wind,63,45.56,-117.1
BAKER,5/10/2007,Hail,1,44.94,-117.12
BAKER,04/21/2009,Hail,1,44.94,-117.12
WALLOWA,05/19/2006,Hail,63,45.65,-117.13
WALLOWA,06/29/2010,Hail,63,45.43,-117.15
WALLOWA,05/19/2006,Hail,63,45.62,-117.15
BAKER,06/30/2008,Hail,1,44.78,-117.16
BAKER,5/10/2007,Hail,1,44.91,-117.16
WALLOWA,06/29/2010,Hail,63,45.36,-117.16
BAKER,8/10/2006,Thunderstorm Wind,1,44.77,-117.17
WALLOWA,05/21/2006,Hail,63,45.97,-117.2
WALLOWA,05/21/2006,Hail,63,45.97,-117.2
WALLOWA,06/29/2010,Hail,63,45.27,-117.21
MALHEUR,8/9/2007,Thunderstorm Wind,45,43.98,-117.24
MALHEUR,08/22/2013,Thunderstorm Wind,45,43.98,-117.24
MALHEUR,05/19/2006,Hail,45,43.98,-117.25
MALHEUR,07/31/2011,Thunderstorm Wind,45,43.97,-117.26
MALHEUR,06/29/2010,Hail,45,43.99,-117.26
BAKER,6/4/2009,Hail,1,44.35,-117.27
WALLOWA,08/29/2009,Hail,63,45.43,-117.28
WALLOWA,06/28/2010,Thunderstorm Wind,63,45.69,-117.28
WALLOWA,08/21/2006,Tornado,63,45.45,-117.3
WALLOWA,07/17/2012,Hail,63,45.83,-117.31
WALLOWA,8/8/2006,Hail,63,45.9,-117.32
WALLOWA,05/18/2009,Hail,63,45.94,-117.32
WALLOWA,5/9/2013,Tornado,63,45.52,-117.37
MALHEUR,8/6/2010,Hail,45,44.1,-117.42
WALLOWA,06/28/2010,Hail,63,45.48,-117.45
WALLOWA,06/28/2010,Thunderstorm Wind,63,45.49,-117.45
WALLOWA,07/17/2012,Hail,63,45.57,-117.53
WALLOWA,5/6/2009,Tornado,63,45.58,-117.53
WALLOWA,07/17/2012,Hail,63,45.57,-117.54
WALLOWA,08/29/2009,Hail,63,45.6,-117.57
MALHEUR,7/2/2013,Thunderstorm Wind,45,43.86,-117.61
MALHEUR,05/29/2005,Hail,45,43.87,-117.62
BAKER,01/30/2004,Thunderstorm Wind,1,44.7,-117.62
MALHEUR,06/30/2004,Hail,45,43.93,-117.68
MALHEUR,6/12/2006,Hail,45,43.98,-117.72
BAKER,07/14/2012,Hail,1,44.48,-117.73
UNION,06/29/2010,Hail,61,45.22,-117.76
UNION,07/17/2012,Hail,61,45.62,-117.76
UNION,07/14/2012,Hail,61,45.21,-117.78
UNION,06/29/2010,Hail,61,45.26,-117.79
UNION,07/14/2012,Hail,61,45.3,-117.79
UNION,08/31/2007,Thunderstorm Wind,61,45.3,-117.8
UNION,8/10/2013,Hail,61,45.3,-117.81
BAKER,06/29/2004,Hail,1,44.78,-117.82
BAKER,06/23/2004,Tornado,1,44.87,-117.82
UNION,08/31/2007,Thunderstorm Wind,61,45.3,-117.82
UNION,07/18/2012,Hail,61,45.54,-117.82
UNION,8/10/2013,Hail,61,45.21,-117.86
UNION,8/10/2013,Hail,61,45.21,-117.87
UNION,07/18/2012,Hail,61,45.35,-117.87
MALHEUR,04/20/2010,Thunderstorm Wind,45,42.58,-117.88
MALHEUR,04/27/2010,Thunderstorm Wind,45,42.58,-117.88
UNION,8/10/2013,Hail,61,45.21,-117.88
UNION,07/19/2011,Hail,61,45.24,-117.9
UMATILLA,08/18/2008,Hail,59,45.72,-117.91
BAKER,7/6/2006,Hail,1,44.92,-117.92
UNION,07/19/2004,Hail,61,45.03,-117.92
UNION,08/16/2013,Thunderstorm Wind,61,45.78,-117.92
UNION,7/6/2006,Hail,61,45.03,-117.93
UNION,06/24/2010,Hail,61,45.03,-117.93
UNION,7/4/2006,Hail,61,45.57,-117.93
UNION,7/4/2006,Hail,61,45.57,-117.93
UNION,7/4/2006,Hail,61,45.58,-117.93
UNION,7/6/2006,Hail,61,45.58,-117.93
UNION,7/6/2006,Hail,61,45.58,-117.93
UNION,07/18/2012,Hail,61,45.46,-117.96
UNION,06/24/2010,Hail,61,45.03,-117.97
UNION,07/18/2012,Hail,61,45.41,-117.97
