Month,Day,Year,sum
1,18,2012,18.129
12,30,2005,16.823
12,27,2005,15.508
9,29,2013,14.996
12,8,2004,14.25
1,19,2012,13.739
12,28,2010,13.388
11,7,2006,13.145
10,24,2010,13.133
12,28,2011,11.722
1,3,2007,11.269
10,18,2007,11.154
12,15,2009,10.822
3,29,2010,10.666
10,19,2007,10.452
1,8,2008,10.38
1,10,2006,10.276
6,2,2010,10.275
3,27,2005,10.138
12,25,2006,10.122
1,1,2009,10.078
1,16,2011,10.012
9,28,2013,9.944
1,17,2006,9.929
12,28,2005,9.88999999999999
11,5,2005,9.854
12,4,2012,9.842
12,13,2006,9.78599999999999
12,14,2006,9.775
12,31,2009,9.77199999999999
2,15,2011,9.60299999999999
1,23,2004,9.56199999999999
12,19,2005,9.436
12,30,2011,9.389
4,20,2010,9.373
3,15,2012,9.34599999999999
2,16,2004,9.333
12,1,2005,9.302
2,27,2006,9.258
11,3,2005,9.05999999999999
12,27,2008,8.87899999999999
10,17,2004,8.85599999999999
2,17,2004,8.81899999999999
12,11,2010,8.72
3,20,2012,8.71099999999999
3,29,2012,8.69299999999999
6,4,2012,8.632
10,15,2012,8.58099999999999
4,2,2010,8.55599999999999
11,20,2012,8.543
11,19,2012,8.52399999999999
11,11,2008,8.47099999999999
3,26,2005,8.444
11,3,2008,8.42799999999999
12,19,2007,8.39899999999999
1,31,2006,8.38099999999999
1,1,2004,8.37
2,2,2008,8.35999999999999
3,21,2012,8.34399999999999
12,31,2005,8.33899999999998
11,30,2010,8.31099999999999
11,18,2007,8.306
1,24,2012,8.256
4,27,2010,8.23299999999999
12,29,2008,8.229
1,13,2011,8.19499999999999
12,29,2011,8.14
12,6,2004,8.13199999999999
12,3,2007,8.098
12,2,2007,8.031
12,9,2004,8.00699999999999
1,27,2008,7.986
12,24,2008,7.98399999999999
12,26,2006,7.91599999999999
3,15,2011,7.90399999999999
8,22,2004,7.88199999999999
10,1,2005,7.79699999999999
5,4,2009,7.77399999999999
5,15,2011,7.755
11,26,2006,7.74799999999998
10,23,2010,7.73099999999999
12,16,2012,7.72699999999999
11,17,2007,7.70799999999999
3,15,2009,7.69499999999999
1,28,2006,7.61999999999999
10,3,2008,7.61799999999999
4,15,2006,7.59399999999999
1,20,2012,7.57499999999999
1,15,2011,7.45499999999999
2,24,2007,7.42999999999999
9,30,2007,7.395
1,31,2008,7.379
1,30,2006,7.37499999999999
11,25,2005,7.34099999999999
2,28,2011,7.29899999999999
11,6,2006,7.26799999999999
11,29,2012,7.24799999999998
11,22,2006,7.238
12,28,2008,7.16899999999999
2,15,2007,7.128
3,12,2010,7.12299999999999
1,28,2004,7.095
12,7,2004,7.06099999999999
12,18,2010,7.04399999999999
1,4,2008,7.02599999999999
1,29,2006,6.94099999999999
5,27,2004,6.93599999999999
1,24,2010,6.93399999999999
1,16,2006,6.921
3,30,2012,6.88199999999999
11,13,2006,6.87999999999998
12,21,2005,6.84599999999999
12,2,2012,6.83699999999999
12,23,2007,6.82499999999999
11,22,2010,6.78099999999999
11,30,2012,6.712
12,18,2008,6.65899999999999
1,29,2008,6.65699999999999
5,15,2005,6.589
12,25,2012,6.55599999999999
1,17,2012,6.524
1,9,2006,6.521
12,1,2012,6.47199999999999
12,21,2008,6.465
11,5,2006,6.45099999999999
5,9,2005,6.447
5,27,2013,6.39199999999999
12,9,2010,6.37499999999999
11,12,2006,6.31399999999999
11,12,2008,6.30699999999999
11,16,2007,6.30199999999999
11,7,2005,6.27199999999999
2,23,2009,6.251
12,20,2012,6.238
12,14,2010,6.21
11,16,2011,6.162
10,13,2009,6.16
3,16,2012,6.14799999999999
4,26,2012,6.12899999999999
1,28,2013,6.084
5,25,2011,6.04499999999999
5,14,2011,6.01499999999999
12,22,2005,6.00999999999999
4,25,2011,5.99899999999999
12,11,2006,5.98999999999999
1,13,2006,5.98499999999999
11,22,2011,5.97699999999999
3,10,2011,5.87699999999999
5,18,2005,5.87599999999999
11,17,2012,5.84399999999999
11,7,2010,5.84299999999999
2,22,2009,5.83299999999999
2,2,2004,5.81699999999999
11,13,2005,5.79799999999999
3,8,2006,5.78599999999999
3,28,2005,5.78099999999999
3,27,2011,5.76399999999999
11,2,2004,5.74199999999999
3,2,2009,5.73199999999999
1,10,2008,5.717
4,15,2011,5.706
12,1,2013,5.682
11,19,2013,5.67899999999999
9,19,2010,5.672
11,12,2007,5.61999999999999
1,1,2010,5.61699999999999
1,14,2006,5.61399999999999
5,3,2012,5.61
1,5,2009,5.60799999999999
3,12,2012,5.60499999999999
1,7,2005,5.58399999999999
1,27,2004,5.56499999999999
1,5,2010,5.558
1,6,2004,5.523
6,5,2007,5.51699999999999
1,7,2009,5.503
5,8,2005,5.49399999999999
12,19,2010,5.48999999999999
11,18,2011,5.48999999999999
10,10,2011,5.48099999999999
12,13,2010,5.462
5,2,2009,5.44899999999999
10,8,2004,5.442
5,28,2008,5.42999999999999
11,21,2006,5.42599999999999
6,2,2006,5.412
12,2,2013,5.397
1,20,2006,5.387
3,25,2006,5.38599999999999
1,29,2004,5.36799999999999
4,14,2004,5.36599999999999
10,15,2006,5.36399999999999
11,19,2006,5.35699999999999
11,4,2006,5.343
10,26,2009,5.33099999999999
11,6,2005,5.31299999999999
2,26,2010,5.31199999999999
5,10,2010,5.28699999999999
2,25,2009,5.277
3,31,2012,5.27699999999999
1,26,2008,5.27399999999999
10,14,2009,5.24999999999999
11,3,2006,5.20099999999999
11,2,2006,5.167
3,26,2008,5.156
1,6,2009,5.149
10,31,2005,5.149
2,28,2006,5.14399999999999
4,3,2005,5.12999999999999
12,18,2007,5.11899999999999
3,20,2013,5.10499999999999
12,19,2012,5.104
4,22,2008,5.10399999999999
2,20,2007,5.08299999999999
6,3,2008,5.08099999999999
4,20,2004,5.05899999999999
8,20,2008,5.038
12,27,2010,5.03699999999999
1,7,2006,5.02599999999999
11,28,2005,5.024
3,13,2011,5.01799999999999
3,19,2005,5.01399999999999
11,17,2009,5.00699999999999
11,15,2006,4.999
1,30,2004,4.99399999999999
12,23,2012,4.97999999999999
3,26,2011,4.96799999999999
2,21,2007,4.96699999999999
3,30,2010,4.93799999999999
12,17,2012,4.92999999999999
11,26,2009,4.92599999999999
9,24,2013,4.92499999999999
8,25,2004,4.901
12,24,2006,4.897
2,22,2013,4.89499999999999
12,20,2008,4.89399999999999
1,8,2009,4.88499999999999
12,29,2010,4.87799999999999
4,7,2013,4.87199999999999
11,17,2011,4.86999999999999
1,2,2009,4.86699999999999
1,12,2010,4.85699999999999
11,20,2009,4.83999999999999
12,29,2005,4.833
12,21,2009,4.81699999999999
5,6,2005,4.816
11,10,2006,4.813
1,12,2006,4.79799999999999
2,23,2010,4.79799999999999
3,16,2009,4.78899999999999
2,6,2004,4.78599999999999
12,27,2007,4.78399999999999
2,4,2006,4.78099999999999
12,25,2005,4.77799999999999
1,5,2008,4.77699999999999
2,25,2004,4.75399999999999
3,8,2011,4.75099999999999
12,26,2010,4.74999999999999
1,9,2013,4.73999999999999
4,27,2005,4.723
6,2,2009,4.72299999999999
12,20,2009,4.70299999999999
3,28,2010,4.69999999999999
2,25,2007,4.69499999999999
12,6,2007,4.685
12,12,2006,4.67
3,14,2008,4.66699999999999
10,28,2010,4.66199999999999
10,19,2004,4.65299999999999
10,22,2004,4.65099999999999
11,1,2005,4.64
3,13,2008,4.63899999999999
3,29,2005,4.63799999999998
11,27,2010,4.62599999999999
12,2,2010,4.62399999999999
5,17,2010,4.61599999999999
3,26,2007,4.61099999999999
6,25,2013,4.60499999999999
12,21,2006,4.60399999999999
1,1,2006,4.60199999999999
3,27,2012,4.59499999999999
2,29,2012,4.58899999999999
4,21,2004,4.588
4,26,2010,4.58599999999999
3,29,2011,4.58599999999999
11,18,2010,4.58499999999999
4,6,2013,4.57999999999999
3,25,2004,4.57899999999999
5,6,2009,4.57599999999999
11,8,2008,4.56799999999999
4,6,2011,4.56399999999999
4,2,2009,4.54999999999999
11,10,2007,4.54299999999999
10,25,2010,4.54199999999999
10,4,2008,4.541
3,25,2010,4.53799999999999
6,3,2010,4.53799999999999
11,22,2009,4.52699999999999
3,16,2011,4.51899999999999
2,22,2007,4.50799999999999
3,14,2012,4.49499999999999
11,5,2008,4.45299999999999
12,2,2005,4.43599999999999
5,18,2004,4.43299999999999
12,16,2009,4.42699999999999
3,28,2008,4.41599999999999
10,26,2004,4.39599999999999
1,12,2011,4.391
11,9,2010,4.37799999999999
4,4,2011,4.37499999999999
12,8,2010,4.36599999999999
9,30,2005,4.362
1,7,2004,4.34199999999999
12,12,2010,4.32399999999999
3,16,2006,4.32199999999999
8,7,2009,4.31199999999999
10,28,2012,4.309
1,17,2010,4.30599999999999
1,8,2004,4.29299999999999
3,26,2004,4.29199999999999
4,16,2012,4.28799999999999
4,16,2005,4.28399999999999
2,14,2011,4.268
11,23,2011,4.26299999999999
3,25,2009,4.25799999999999
4,5,2006,4.25699999999999
3,14,2009,4.21499999999999
6,4,2010,4.206
10,22,2012,4.20599999999999
12,18,2005,4.17799999999999
11,27,2006,4.17699999999999
10,4,2011,4.16599999999999
1,6,2008,4.16599999999999
5,28,2004,4.16399999999999
11,4,2008,4.15899999999999
12,22,2012,4.14599999999999
3,11,2010,4.138
11,25,2004,4.13799999999999
3,5,2013,4.13199999999999
2,16,2011,4.12499999999999
4,21,2007,4.12499999999999
5,3,2009,4.11999999999999
4,17,2007,4.11499999999999
12,21,2012,4.10899999999999
3,5,2009,4.097
5,2,2007,4.09699999999999
3,13,2012,4.09199999999999
10,31,2012,4.088
5,24,2012,4.08199999999999
4,7,2007,4.07899999999999
9,17,2010,4.078
12,29,2007,4.07199999999999
5,10,2005,4.061
1,30,2008,4.05099999999999
3,28,2009,4.049
12,23,2006,4.04899999999999
3,22,2005,4.02999999999999
11,12,2012,4.02799999999999
4,14,2007,4.02299999999999
11,2,2013,4.02199999999999
9,18,2010,4.021
2,24,2009,4.01399999999999
12,12,2008,4.01399999999999
1,13,2010,4.00399999999999
5,10,2004,4.00099999999999
11,5,2009,3.97399999999999
1,7,2013,3.957
4,4,2013,3.93399999999999
11,23,2006,3.93
3,21,2011,3.92699999999999
6,6,2011,3.92399999999999
3,2,2007,3.91999999999999
12,26,2005,3.88799999999999
11,7,2013,3.86099999999999
10,27,2012,3.853
9,5,2013,3.838
2,10,2007,3.81399999999999
5,21,2013,3.805
5,16,2005,3.80099999999999
11,8,2006,3.79299999999999
10,25,2004,3.792
1,8,2005,3.78799999999999
3,11,2012,3.77199999999999
11,21,2011,3.76399999999999
12,17,2007,3.76199999999999
2,6,2008,3.76
11,21,2012,3.75799999999999
1,24,2004,3.753
6,23,2013,3.753
12,20,2013,3.75
12,1,2010,3.73899999999999
2,11,2010,3.73799999999999
4,16,2011,3.737
5,21,2010,3.73299999999999
12,27,2011,3.722
2,1,2006,3.71999999999999
11,6,2010,3.71799999999999
3,31,2006,3.71599999999999
3,21,2009,3.70199999999999
6,9,2010,3.68799999999999
1,26,2004,3.68499999999999
1,21,2012,3.68499999999999
4,4,2012,3.67799999999999
12,13,2008,3.67699999999999
2,7,2008,3.655
11,27,2009,3.65399999999999
3,6,2013,3.65299999999999
3,20,2005,3.64399999999999
4,23,2008,3.63499999999999
2,11,2007,3.62599999999999
3,9,2011,3.624
2,14,2010,3.61999999999999
3,20,2011,3.611
5,25,2010,3.60299999999999
3,18,2011,3.59099999999999
8,6,2009,3.58499999999999
1,2,2007,3.583
6,4,2006,3.581
4,9,2009,3.57999999999999
1,12,2008,3.57299999999999
5,31,2011,3.56699999999999
11,2,2008,3.56099999999999
11,26,2010,3.55799999999999
4,7,2005,3.553
4,3,2006,3.55099999999999
12,14,2008,3.54999999999999
2,28,2007,3.53999999999999
1,18,2011,3.52899999999999
2,20,2012,3.51499999999999
3,1,2007,3.51299999999999
1,22,2012,3.48799999999999
5,26,2004,3.487
9,17,2013,3.48599999999999
3,9,2006,3.47999999999999
4,29,2008,3.47899999999999
1,4,2010,3.476
6,5,2005,3.474
9,17,2004,3.47299999999999
11,29,2005,3.46999999999999
10,2,2008,3.46799999999999
2,28,2012,3.46699999999999
3,1,2009,3.46499999999999
3,6,2006,3.46099999999999
4,19,2013,3.455
11,24,2006,3.44999999999999
10,29,2009,3.438
4,13,2011,3.43799999999999
4,8,2009,3.42599999999999
11,17,2010,3.42
4,19,2012,3.40799999999999
3,25,2011,3.39499999999999
4,5,2013,3.39399999999999
10,16,2006,3.39399999999999
1,11,2006,3.38999999999999
1,1,2005,3.389
4,11,2012,3.38899999999999
1,26,2012,3.37399999999999
10,23,2004,3.36999999999999
4,8,2006,3.369
5,13,2005,3.36899999999999
5,26,2006,3.36899999999999
1,29,2012,3.364
12,14,2009,3.36099999999999
12,29,2009,3.35499999999999
1,6,2007,3.35399999999999
