Month,Day,Year,california,oregon,washington
1,1,2004,14.824,8.37,2.76699999999999
2,1,2004,2.178,2.20299999999999,0.761000000000001
3,1,2004,8.35699999999997,2.04099999999999,0.393
4,1,2004,0.31,0.011,0.002
5,1,2004,0,0.042,0.025
6,1,2004,0.07,0.02,0.102
7,1,2004,0.612,0.216,0.108
8,1,2004,0.159,0.02,0.005
9,1,2004,0.049,1.206,1.803
10,1,2004,0.732,0,0
11,1,2004,0.148,0.969000000000001,6.98099999999999
12,1,2004,0.239,0.802000000000001,0.139
1,2,2004,19.513,1.867,1.07
2,2,2004,15.056,5.81699999999999,1.746
3,2,2004,9.39399999999999,0.146,0.013
4,2,2004,1.954,0.062,0
5,2,2004,0,0.062,0.145
6,2,2004,0.084,0.008,0
7,2,2004,0.526,0.015,0.12
8,2,2004,0.124,0.396,0.186
9,2,2004,0.018,0.534,0.731
10,2,2004,0.495,0,0
11,2,2004,1.178,5.74199999999999,6.51799999999999
12,2,2004,0.382,0.109,0.004
1,3,2004,4.949,2.396,1.93899999999999
2,3,2004,15.784,1.82599999999999,0.860000000000001
3,3,2004,3.27199999999999,2.219,3.438
4,3,2004,2.38999999999999,0.315,0.162
5,3,2004,0.001,0.019,0.062
6,3,2004,0.041,0.019,0.007
7,3,2004,0.254,0.25,0.252
8,3,2004,0.085,0.158,0.581
9,3,2004,0.014,0.006,0
10,3,2004,0.431,0.027,0
11,3,2004,4.27099999999999,1.772,0.075
12,3,2004,0.319,0.032,0.804
1,4,2004,0.359,1.48,0.264
2,4,2004,2.73699999999999,0.45,1.189
3,4,2004,0.38,3.03199999999999,2.375
4,4,2004,0.794000000000001,0.051,0.027
5,4,2004,0.015,0.447,1.207
6,4,2004,0.057,0.172,0.151
7,4,2004,0.19,0.024,0.33
8,4,2004,0.063,1.121,1.33
9,4,2004,0.031,0.024,0.073
10,4,2004,0.263,0.021,0
11,4,2004,4.21399999999999,0.036,0
12,4,2004,0.491,0.744,4.389
1,5,2004,0.154,1.167,0.303
2,5,2004,0.115,0.136,0.27
3,5,2004,0.379,2.655,4.18399999999999
4,5,2004,0.15,0.799000000000001,0.143
5,5,2004,0.018,0.061,0.137
6,5,2004,0.1,1.037,3.318
7,5,2004,0.254,0.022,0.001
8,5,2004,0.071,0.141,2.141
9,5,2004,0.032,0.001,0.018
10,5,2004,0.205,1.04,1.928
11,5,2004,1.061,0.027,0.052
12,5,2004,2.11499999999999,1.194,1.588
1,6,2004,1.919,5.523,5.68899999999999
2,6,2004,2.76,4.78599999999999,2.90699999999999
3,6,2004,0.344,0.347,1.238
4,6,2004,0.254,0.834000000000001,0.003
5,6,2004,0.01,0.057,0.005
