CZ_NAME_STR,BEGIN_DATE,EVENT_TYPE,CZ_FIPS,BEGIN_LAT,BEGIN_LON
TACOMA AREA,3/10/2005,Drought,8,45.771674,-122.485903
COWLITZ,04/22/2005,Thunderstorm Wind,15,45.87,-120.79
HOOD CANAL/KITSAP PENINSULA,3/10/2005,Drought,10,45.87,-120.79
NORTHERN CASCADE FOOTHILLS,3/10/2005,Drought,3,45.87,-120.79
SPOKANE,05/21/2004,Hail,63,45.87,-120.79
YAKIMA,04/23/2005,Thunderstorm Wind,77,45.87,-120.79
ASOTIN,8/10/2006,Hail,3,45.929444,-122.202778
BENTON,05/19/2006,Thunderstorm Wind,5,45.929444,-122.202778
CLARK,06/29/2008,Thunderstorm Wind,11,45.929444,-122.202778
FRANKLIN,05/19/2006,Thunderstorm Wind,21,45.929444,-122.202778
FRANKLIN,05/19/2006,Hail,21,45.929444,-122.202778
GRANT,7/12/2006,Thunderstorm Wind,25,45.929444,-122.202778
LINCOLN,6/6/2009,Tornado,43,45.929444,-122.202778
OKANOGAN,7/5/2006,Thunderstorm Wind,47,45.929444,-122.202778
OKANOGAN,7/5/2006,Thunderstorm Wind,47,45.929444,-122.202778
OKANOGAN,7/5/2006,Thunderstorm Wind,47,45.929444,-122.202778
OKANOGAN,08/22/2006,Hail,47,45.929444,-122.202778
OKANOGAN,08/22/2006,Hail,47,45.929444,-122.202778
OKANOGAN,08/22/2006,Hail,47,45.929444,-122.202778
OKANOGAN,7/3/2008,Hail,47,45.929444,-122.202778
OKANOGAN,7/3/2008,Thunderstorm Wind,47,45.929444,-122.202778
OKANOGAN,7/3/2008,Thunderstorm Wind,47,45.929444,-122.202778
PEND OREILLE,5/12/2007,Thunderstorm Wind,51,45.929444,-122.202778
PEND OREILLE,07/13/2007,Thunderstorm Wind,51,45.929444,-122.202778
PEND OREILLE,9/6/2009,Thunderstorm Wind,51,45.929444,-122.202778
SPOKANE,5/12/2007,Thunderstorm Wind,63,45.929444,-122.202778
SPOKANE,08/21/2008,Hail,63,45.929444,-122.202778
WALLA WALLA,05/19/2006,Thunderstorm Wind,71,45.929444,-122.202778
WALLA WALLA,05/19/2006,Thunderstorm Wind,71,45.929444,-122.202778
WHITMAN,8/8/2008,Hail,75,45.929444,-122.202778
YAKIMA,08/16/2006,Hail,77,45.929444,-122.202778
