Month,Day,Year,sum
1,1,2004,2.76699999999999
2,1,2004,0.761000000000001
3,1,2004,0.393
4,1,2004,0.002
5,1,2004,0.025
6,1,2004,0.102
7,1,2004,0.108
8,1,2004,0.005
9,1,2004,1.803
10,1,2004,0
11,1,2004,6.98099999999999
12,1,2004,0.139
1,2,2004,1.07
2,2,2004,1.746
3,2,2004,0.013
4,2,2004,0
5,2,2004,0.145
6,2,2004,0
7,2,2004,0.12
8,2,2004,0.186
9,2,2004,0.731
10,2,2004,0
11,2,2004,6.51799999999999
12,2,2004,0.004
1,3,2004,1.93899999999999
2,3,2004,0.860000000000001
3,3,2004,3.438
4,3,2004,0.162
5,3,2004,0.062
6,3,2004,0.007
7,3,2004,0.252
8,3,2004,0.581
9,3,2004,0
10,3,2004,0
11,3,2004,0.075
12,3,2004,0.804
1,4,2004,0.264
2,4,2004,1.189
3,4,2004,2.375
4,4,2004,0.027
5,4,2004,1.207
6,4,2004,0.151
7,4,2004,0.33
8,4,2004,1.33
9,4,2004,0.073
10,4,2004,0
11,4,2004,0
12,4,2004,4.389
1,5,2004,0.303
2,5,2004,0.27
3,5,2004,4.18399999999999
4,5,2004,0.143
5,5,2004,0.137
6,5,2004,3.318
7,5,2004,0.001
8,5,2004,2.141
9,5,2004,0.018
10,5,2004,1.928
11,5,2004,0.052
12,5,2004,1.588
1,6,2004,5.68899999999999
2,6,2004,2.90699999999999
3,6,2004,1.238
4,6,2004,0.003
5,6,2004,0.005
6,6,2004,2.86499999999999
7,6,2004,0.445
8,6,2004,4.61199999999999
9,6,2004,0.001
10,6,2004,1.102
11,6,2004,0.409
12,6,2004,2.69899999999999
1,7,2004,4.31299999999999
2,7,2004,0.451
3,7,2004,2.742
4,7,2004,0.137
5,7,2004,1.399
6,7,2004,1.38
7,7,2004,0.578
8,7,2004,0.144
9,7,2004,0.027
10,7,2004,0.105
11,7,2004,0.026
12,7,2004,5.06499999999999
1,8,2004,2.96999999999999
2,8,2004,0.102
3,8,2004,0.005
4,8,2004,0.189
5,8,2004,1.788
6,8,2004,1.443
7,8,2004,0.047
8,8,2004,0
9,8,2004,0.369
10,8,2004,7.42699999999999
11,8,2004,0
12,8,2004,5.493
1,9,2004,1.933
2,9,2004,0.036
3,9,2004,0.486
4,9,2004,0
5,9,2004,0.135
6,9,2004,1.504
7,9,2004,0.637
8,9,2004,0
9,9,2004,0.405
10,9,2004,2.655
11,9,2004,0
12,9,2004,4.858
1,10,2004,1.047
2,10,2004,0
3,10,2004,0
4,10,2004,0
5,10,2004,0.849000000000001
6,10,2004,1.319
7,10,2004,0.647
8,10,2004,0
9,10,2004,3.85
10,10,2004,0.066
11,10,2004,0.013
12,10,2004,10.665
1,11,2004,0.12
2,11,2004,0.002
3,11,2004,0
4,11,2004,0
5,11,2004,1.782
6,11,2004,0.118
7,11,2004,0.034
8,11,2004,0
9,11,2004,2.99499999999999
10,11,2004,0.003
11,11,2004,0
12,11,2004,1.025
1,12,2004,0.825000000000001
2,12,2004,0
3,12,2004,0.048
4,12,2004,0.264
5,12,2004,0.413
